Arguments:
Namespace(exp_pool_path='artifacts/exp_pool/exp_pool.pkl', sample_step=None, num_executors=50, job_arrival_cap=200, job_arrival_rate=4e-05, moving_delay=2000.0, warmup_delay=1000.0, render_mode=None, dataset='tpch', plm_type='llama', plm_size='tiny', rank=128, pt_encoder_config=None, state_feature_dim=256, K=20, gamma=1.0, max_exec_num=50, max_stage_num=100, lr=0.0001, weight_decay=0.0001, warmup_steps=2000, num_iters=10, num_steps_per_iter=10000, eval_max_ep_len=6000, eval_per_iter=1, save_checkpoint_per_iter=1, target_return_scale=1.0, which_layer=-1, train=True, test=False, grad_accum_steps=32, seed=666, env_seed=666, scale=1000, resume_dir=None, resume_iter=None, model_dir=None, use_head=3, device='cuda:0', device_out='cuda:0', device_mid=None)
Experience dataset info:
Munch({'max_reward': 0, 'min_reward': -504129.1369907103, 'max_return': 5.793701710089156, 'min_return': 0.0009962767476381065, 'min_timestep': 0, 'max_timestep': 5813, 'min_num_nodes': 1, 'max_num_nodes': 134, 'min_num_dags': 1, 'max_num_dags': 16, 'min_stage_idx': 0, 'max_stage_idx': 47, 'min_job_idx': 0, 'max_job_idx': 15, 'min_num_exec': 0, 'max_num_exec': 49})
If tokenizer is loaded:  [1, 22172, 3186] 
Step 5100 - mean train loss  3.379782
Step 5200 - mean train loss  3.378205
Step 5300 - mean train loss  3.378145
Step 5400 - mean train loss  3.377286
Step 5500 - mean train loss  3.375545
Step 5600 - mean train loss  3.372802
Step 5700 - mean train loss  3.371108
Step 5800 - mean train loss  3.369363
Step 5900 - mean train loss  3.367594
Step 6000 - mean train loss  3.366067
Step 6100 - mean train loss  3.364286
Step 6200 - mean train loss  3.362936
Step 6300 - mean train loss  3.360978
Step 6400 - mean train loss  3.359708
Step 6500 - mean train loss  3.357265
Step 6600 - mean train loss  3.356725
Step 6700 - mean train loss  3.354091
Step 6800 - mean train loss  3.351273
Step 6900 - mean train loss  3.349961
Step 7000 - mean train loss  3.349275
Step 7100 - mean train loss  3.346415
Step 7200 - mean train loss  3.345205
Step 7300 - mean train loss  3.343470
Step 7400 - mean train loss  3.342172
Step 7500 - mean train loss  3.341212
Step 7600 - mean train loss  3.340312
Step 7700 - mean train loss  3.339433
Step 7800 - mean train loss  3.337191
Step 7900 - mean train loss  3.335658
Step 8000 - mean train loss  3.334025
Step 8100 - mean train loss  3.333228
Step 8200 - mean train loss  3.330765
Step 8300 - mean train loss  3.330773
Step 8400 - mean train loss  3.329445
Step 8500 - mean train loss  3.328442
Step 8600 - mean train loss  3.327015
Step 8700 - mean train loss  3.325316
Step 8800 - mean train loss  3.323472
Step 8900 - mean train loss  3.321291
Step 9000 - mean train loss  3.319658
Step 9100 - mean train loss  3.317768
Step 9200 - mean train loss  3.315880
Step 9300 - mean train loss  3.313614
Step 9400 - mean train loss  3.313019
Step 9500 - mean train loss  3.312504
Step 9600 - mean train loss  3.310914
Step 9700 - mean train loss  3.309415
Step 9800 - mean train loss  3.307148
Step 9900 - mean train loss  3.305718
>>>>>>>>>> Training Information:
{'time/training': 5643.666002750397,
 'training/train_loss_mean': 3.30348183426857,
 'training/train_loss_std': 0.6228670403622}
Checkpoint saved at: artifacts/ft_plms/llama_tiny/artifacts_exp_pool_exp_pool_ss_None/peft_128_K_20_gamma_1.0_sfd_256_exec_50_stage_100_lr_0.0001_wd_0.0001_warm_2000_iters_10_steps_10000_seed_666/early_stop_-1_checkpoint/1
==================== Training Iteration #2 ====================
Step 0 - mean train loss  3.207429
Step 100 - mean train loss  3.074623
Step 200 - mean train loss  3.082091
Step 300 - mean train loss  3.100688
Step 400 - mean train loss  3.113598
Step 500 - mean train loss  3.094453
Step 600 - mean train loss  3.097204
Step 700 - mean train loss  3.103304
Step 800 - mean train loss  3.097276
Step 900 - mean train loss  3.102776
Step 1000 - mean train loss  3.101788
Step 1100 - mean train loss  3.096915
Step 1200 - mean train loss  3.102438
Step 1300 - mean train loss  3.098240
Step 1400 - mean train loss  3.098256
Step 1500 - mean train loss  3.091770
Step 1600 - mean train loss  3.096410
Step 1700 - mean train loss  3.098576
Step 1800 - mean train loss  3.102223
Step 1900 - mean train loss  3.099973
Step 2000 - mean train loss  3.097814
Step 2100 - mean train loss  3.092917
